ЛОТ_ID;Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД
;18%;1368 д;01.06.24;31.12.27;01.06.24;28.02.28;1368 д;;;1;Суммарная задача;1;1aff5991-92c2-410c-9c57-dcb7a83a7e36;;;НД;БЦ Горизонт;;a2222222-2222-4222-8222-222222222202;1;
;0%;1368 д;01.06.24;31.12.27;01.06.24;28.02.28;1368 д;;;2;Ковенанты;2;baf02fb8-4b26-4179-94ce-f0b7e3db9657;;;НД;КОВЕНАНТЫ;;a2222222-2222-4222-8222-222222222202;2;
;100%;90 д;01.06.24;14.08.24;01.06.24;29.08.24;90 д;;;5;Ковенанты;3;47bd6265-5455-4259-9b17-88c21d743cb2;;;НД;ГПЗУ;;a2222222-2222-4222-8222-222222222202;5;
;100%;256 д;01.06.24;14.02.25;01.06.24;11.02.25;256 д;;;5;Ковенанты;4;fce6a112-5734-42a9-b6df-054b232593cd;;;НД;Экспертиза стадии П;;a2222222-2222-4222-8222-222222222202;5;
;100%;291 д;01.06.24;18.03.25;01.06.24;18.03.25;291 д;;;5;Ковенанты;5;c0c89dd8-6d0a-4a07-bd63-00a66f1b86a9;;;НД;Начало финансирования;;a2222222-2222-4222-8222-222222222202;5;
;85%;486 д;01.06.24;14.08.25;01.06.24;29.09.25;486 д;;;5;Ковенанты;6;62177e6f-c461-4d4f-97ab-ad7f96b3f48e;;;НД;Стадия РД;;a2222222-2222-4222-8222-222222222202;5;
;100%;503 д;01.06.24;16.10.25;01.06.24;16.10.25;503 д;;;5;Ковенанты;7;53378473-6725-4033-b643-d37dd1b66e1b;;;НД;Разрешение на строительство;;a2222222-2222-4222-8222-222222222202;5;
;40%;1262 д;01.06.24;14.08.27;01.06.24;14.11.27;1262 д;;;5;Ковенанты;8;4d02195e-4008-44f2-968c-99813c7cdca3;;;НД;Завершение СМР;;a2222222-2222-4222-8222-222222222202;5;
;0%;1277 д;01.06.24;29.08.27;01.06.24;29.11.27;1277 д;;;5;Ковенанты;9;b36850c8-cb82-499f-af6a-7d58c8ff6699;;;НД;Пуск электричества;;a2222222-2222-4222-8222-222222222202;5;
;0%;1294 д;01.06.24;15.09.27;01.06.24;16.12.27;1294 д;;;5;Ковенанты;10;53503a52-2bda-4b81-b0d0-6f450015f487;;;НД;Пуск газа;;a2222222-2222-4222-8222-222222222202;5;
;0%;1324 д;01.06.24;16.10.27;01.06.24;15.01.28;1324 д;;;5;Ковенанты;11;18182bdf-785c-43a1-92f8-a8386173e5c2;;;НД;Заключение о соответствии;;a2222222-2222-4222-8222-222222222202;5;
;0%;1354 д;01.06.24;14.11.27;01.06.24;14.02.28;1354 д;;;5;Ковенанты;12;5aa145b3-c3c6-423a-beb2-c391b4efb4bd;;;НД;Разрешение на ввод в эксплуатацию;;a2222222-2222-4222-8222-222222222202;5;
;100%;319 д;01.06.24;15.04.25;01.06.24;15.04.25;319 д;;;5;Ковенанты;13;1bba4893-7a39-467f-bc5e-91863f0e5f24;;;НД;Право 1;;a2222222-2222-4222-8222-222222222202;5;
;0%;959 д;01.06.24;15.11.26;01.06.24;15.01.27;959 д;;;5;Ковенанты;14;3cf4a321-16d3-4203-8ea0-fd0c50669b5f;;;НД;Выкуп ЗУ;;a2222222-2222-4222-8222-222222222202;5;
;50%;776 д;01.06.24;16.05.26;01.06.24;16.07.26;776 д;;;5;Ковенанты;15;eb3a0ccc-39c7-4705-94c8-d7e976be6c0d;;;НД;Право 2;;a2222222-2222-4222-8222-222222222202;5;
;100%;243 д;01.06.24;14.01.25;01.06.24;29.01.25;243 д;;;5;Ковенанты;16;22f902b6-cb6f-414c-8997-7199912a54b2;;;НД;Регистрация договора субаренды;;a2222222-2222-4222-8222-222222222202;5;
;100%;318 д;01.06.24;17.03.25;01.06.24;14.04.25;318 д;;;5;Ковенанты;17;c634d6aa-5ccc-4e4c-bbe1-9fdb31f7e583;;;НД;Рассмотрение и утверждение на инвестиционном комитете;;a2222222-2222-4222-8222-222222222202;5;
;100%;394 д;01.06.24;14.06.25;01.06.24;29.06.25;394 д;;;5;Ковенанты;18;27f937b6-348c-4e2c-9487-6351f33b9624;;;НД;Подбор команды;;a2222222-2222-4222-8222-222222222202;5;
;100%;256 д;01.06.24;14.02.25;01.06.24;11.02.25;256 д;;;5;Ковенанты;19;b6020921-b56a-4cf2-9e65-1059f68f70d8;;;НД;Экспертиза ПД;;a2222222-2222-4222-8222-222222222202;5;
;85%;486 д;01.06.24;14.08.25;01.06.24;29.09.25;486 д;;;5;Ковенанты;20;9aa9eebf-2424-41f0-b02a-91d30e884fb5;;;НД;Стадия Рабочая Документация (РД);;a2222222-2222-4222-8222-222222222202;5;
;100%;60 д;01.06.24;16.07.24;01.06.24;30.07.24;60 д;;;5;Ковенанты;21;ca5076b4-eacc-4613-a91b-d5c49ccc98c2;;;НД;Подготовка договора аренды;;a2222222-2222-4222-8222-222222222202;5;
;100%;318 д;01.06.24;17.03.25;01.06.24;14.04.25;318 д;;;5;Ковенанты;22;08d9af4b-2b8d-40e5-90a6-08fde8e2b4fe;;;НД;ГОТОВЫЙ ПРОДУКТ;;a2222222-2222-4222-8222-222222222202;5;
;100%;698 д;01.06.24;15.04.26;01.06.24;29.04.26;698 д;;;5;Ковенанты;23;1a4e9bfc-ed28-49c4-9521-9e6106fd7fb9;;;НД;Начало СМР;;a2222222-2222-4222-8222-222222222202;5;
;0%;1262 д;01.06.24;16.07.27;01.06.24;14.11.27;1262 д;;;5;Ковенанты;24;a8802f58-fff6-4c37-b60a-f69bbb3ff70b;;;НД;Передача боксов резидентам;;a2222222-2222-4222-8222-222222222202;5;
;18%;1368 д;01.06.24;31.12.27;01.06.24;28.02.28;1368 д;;;2;СМР;25;f25535f1-ad0f-4d1b-801e-b85d18916846;;;НД;СМР;;a2222222-2222-4222-8222-222222222202;2;
;0%;1368 д;01.06.24;31.12.27;01.06.24;28.02.28;1368 д;;;3;СМР;26;7ed3f5d0-cc49-4f32-bf76-106884f2e08d;;;НД;Корпус А;;a2222222-2222-4222-8222-222222222202;3;
;35%;744 д;01.06.24;29.04.26;01.06.24;14.06.26;744 д;Увеличение сроков по вине подрядчика;Срок перенесён на 2 недели;5;СМР;27;05a1fe3c-28c5-49e4-8139-051df6d26bd2;;;НД;Монолитные работы корпус А;;a2222222-2222-4222-8222-222222222202;5;
;35%;764 д;01.06.24;15.06.26;01.06.24;04.07.26;764 д;Не передан фронт работ;;5;СМР;28;7eb56c63-f7d9-42b5-a859-2657971f763a;;;НД;Устройство кровли;;a2222222-2222-4222-8222-222222222202;5;
;35%;800 д;01.06.24;25.07.26;01.06.24;09.08.26;800 д;Изменение объемов;;5;СМР;29;7a3baca7-2f3a-4715-907d-9548ec8aab89;;;НД;Внутренние сети;;a2222222-2222-4222-8222-222222222202;5;
;0%;1368 д;01.06.24;31.12.27;01.06.24;28.02.28;1368 д;;;2;Продукт;30;b3b689f2-0f24-4b08-b178-9f99d7bfb859;;;НД;ПРОДУКТ;;a2222222-2222-4222-8222-222222222202;2;
;100%;318 д;01.06.24;17.03.25;01.06.24;14.04.25;318 д;;;5;Продукт;31;e02a1c33-d0ed-4d6a-87e4-cf93687b1eb6;;;НД;Этап ГОТОВЫЙ ПРОДУКТ;;a2222222-2222-4222-8222-222222222202;5;
;0%;1368 д;01.06.24;31.12.27;01.06.24;28.02.28;1368 д;;;2;ИРД;32;e35209f5-645d-49c3-8267-30f4df6847ad;;;НД;ИРД;;a2222222-2222-4222-8222-222222222202;2;
;90%;547 д;01.06.24;16.10.25;01.06.24;29.11.25;547 д;;;4;ИРД;33;554c5b2b-cf04-4d97-82a2-2ae4b7cd4e11;;;НД;Электроснабжение:;;a2222222-2222-4222-8222-222222222202;4;
;70%;583 д;01.06.24;15.11.25;01.06.24;04.01.26;583 д;;;4;ИРД;34;aa0e9ab4-613d-42d1-9d44-bffc59a7d665;;;НД;Примыкания к УДС:;;a2222222-2222-4222-8222-222222222202;4;
;0%;1368 д;01.06.24;31.12.27;01.06.24;28.02.28;1368 д;;;2;ПРОЕКТ;35;e4d2c5d9-2515-4353-b4f1-687f7249a941;;;НД;ПРОЕКТ;;a2222222-2222-4222-8222-222222222202;2;
;80%;440 д;01.06.24;16.05.25;01.06.24;14.08.25;440 д;;;3;ПРОЕКТ;36;5fa5d634-6416-4dc5-97dd-dc5da79a3952;;;НД;Согласование ПЗУ, ПОС, ПОДД с КРМО, МОЭСК, Мособлгаз, Мосавтодор;;a2222222-2222-4222-8222-222222222202;3;
