ЛОТ_ID;Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД
;42%;1294 д;01.03.24;30.06.27;01.03.24;15.09.27;1294 д;;;1;Суммарная задача;1;729f5663-f06f-4e56-8bf3-d34e1816853a;;;НД;ЖК Северный;;a1111111-1111-4111-8111-111111111101;1;
;0%;1294 д;01.03.24;30.06.27;01.03.24;15.09.27;1294 д;;;2;Ковенанты;2;39e7576e-996e-4b9a-b357-59f701ea3ac1;;;НД;КОВЕНАНТЫ;;a1111111-1111-4111-8111-111111111101;2;
;100%;137 д;01.03.24;30.06.24;01.03.24;15.07.24;137 д;;;5;Ковенанты;3;fe4fefe7-f3d9-45e4-86e6-066c16cd5496;;;НД;ГПЗУ;;a1111111-1111-4111-8111-111111111101;5;
;100%;303 д;01.03.24;31.12.24;01.03.24;28.12.24;303 д;;;5;Ковенанты;4;cf0d527c-fd7c-4a43-9599-a0778a673783;;;НД;Экспертиза стадии П;;a1111111-1111-4111-8111-111111111101;5;
;100%;338 д;01.03.24;01.02.25;01.03.24;01.02.25;338 д;;;5;Ковенанты;5;97dbd3d6-2531-4eba-9398-eb6f2fdf6bf2;;;НД;Начало финансирования;;a1111111-1111-4111-8111-111111111101;5;
;85%;533 д;01.03.24;30.06.25;01.03.24;15.08.25;533 д;;;5;Ковенанты;6;32671165-25ec-4a23-b13a-a14116b86eb1;;;НД;Стадия РД;;a1111111-1111-4111-8111-111111111101;5;
;100%;550 д;01.03.24;01.09.25;01.03.24;01.09.25;550 д;;;5;Ковенанты;7;01f57741-7df7-4a4a-9f1b-4de8949f119e;;;НД;Разрешение на строительство;;a1111111-1111-4111-8111-111111111101;5;
;40%;1309 д;01.03.24;30.06.27;01.03.24;30.09.27;1309 д;;;5;Ковенанты;8;8741a0ad-775e-4ea4-9c20-aedf5497ad1f;;;НД;Завершение СМР;;a1111111-1111-4111-8111-111111111101;5;
;0%;1324 д;01.03.24;15.07.27;01.03.24;15.10.27;1324 д;;;5;Ковенанты;9;8a0a5012-f356-49f8-96a0-80e530c7c487;;;НД;Пуск электричества;;a1111111-1111-4111-8111-111111111101;5;
;0%;1341 д;01.03.24;01.08.27;01.03.24;01.11.27;1341 д;;;5;Ковенанты;10;c2ba8bc7-2342-40bc-8c80-a3df26e4fcad;;;НД;Пуск газа;;a1111111-1111-4111-8111-111111111101;5;
