;;;;;;;;1; ;н;е;д;е;л;я;;;1; ;н;е;д;е;л;я;;;1; ;н;е;д;е;л;я;;;1; ;н;е;д;е;л;я;;;1; ;н;е;д;е;л;я;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID Проекта;Наименование проекта;ID Подрядчика;Подрядчик;Тип ресурсов;01.06.26;02.06.26;03.06.26;04.06.26;05.06.26;06.06.26;07.06.26;08.06.26;09.06.26;10.06.26;11.06.26;12.06.26;13.06.26;14.06.26;15.06.26;16.06.26;17.06.26;18.06.26;19.06.26;20.06.26;21.06.26;22.06.26;23.06.26;24.06.26;25.06.26;26.06.26;27.06.26;28.06.26;29.06.26;30.06.26;Тип ресурсов
a1111111-1111-4111-8111-111111111101;ЖК Северный;128175af-6d7c-427a-80d4-29b692a2baf6;СТРОЙКОМПЛЕКТ ООО;рабочие;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;рабочие
a1111111-1111-4111-8111-111111111101;ЖК Северный;128175af-6d7c-427a-80d4-29b692a2baf6;СТРОЙКОМПЛЕКТ ООО;техника;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;техника
a1111111-1111-4111-8111-111111111101;ЖК Северный;40477a7d-e13d-4a7b-9566-40a9a46ab8ca;МОНТАЖПРО ООО;рабочие;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;рабочие
a1111111-1111-4111-8111-111111111101;ЖК Северный;40477a7d-e13d-4a7b-9566-40a9a46ab8ca;МОНТАЖПРО ООО;техника;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;техника
a1111111-1111-4111-8111-111111111101;ЖК Северный;216d71aa-e7a1-493f-9554-05920917d3a6;ИНЖСЕРВИС ООО;рабочие;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;рабочие
a1111111-1111-4111-8111-111111111101;ЖК Северный;216d71aa-e7a1-493f-9554-05920917d3a6;ИНЖСЕРВИС ООО;техника;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;техника
a2222222-2222-4222-8222-222222222202;БЦ Горизонт;d152e26b-fb1d-4342-8b23-1b55d71cc7dc;ФАСАДСТРОЙ ООО;рабочие;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;рабочие
a2222222-2222-4222-8222-222222222202;БЦ Горизонт;d152e26b-fb1d-4342-8b23-1b55d71cc7dc;ФАСАДСТРОЙ ООО;техника;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;техника
a2222222-2222-4222-8222-222222222202;БЦ Горизонт;71faaf00-e35c-4b14-8c1d-c5b71594cad8;ЛИФТМОНТАЖ ООО;рабочие;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;рабочие
a2222222-2222-4222-8222-222222222202;БЦ Горизонт;71faaf00-e35c-4b14-8c1d-c5b71594cad8;ЛИФТМОНТАЖ ООО;техника;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;техника
a3333333-3333-4333-8333-333333333303;Квартал Альфа;e4581b3d-e5fd-435f-a798-fb0fbe237823;АЛЬФАСТРОЙ ООО;рабочие;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;рабочие
a3333333-3333-4333-8333-333333333303;Квартал Альфа;e4581b3d-e5fd-435f-a798-fb0fbe237823;АЛЬФАСТРОЙ ООО;техника;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;техника
a3333333-3333-4333-8333-333333333303;Квартал Альфа;c04a3869-1a63-418e-bd18-c8dae83eec16;ДОРСТРОЙ ООО;рабочие;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;рабочие
a3333333-3333-4333-8333-333333333303;Квартал Альфа;c04a3869-1a63-418e-bd18-c8dae83eec16;ДОРСТРОЙ ООО;техника;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;техника
a3333333-3333-4333-8333-333333333303;Квартал Альфа;fe7269f8-3c36-4cd0-be9f-86046586b210;ЭЛЕКТРОМОНТАЖ ООО;рабочие;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;34;42;50;58;26;рабочие
a3333333-3333-4333-8333-333333333303;Квартал Альфа;fe7269f8-3c36-4cd0-be9f-86046586b210;ЭЛЕКТРОМОНТАЖ ООО;техника;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;5;7;9;11;3;техника
