Import_data;DocID;DocDescription;InternalID;CreationDate;DocNumber;KrState;KrStateID;KindName;ObjectName;id_Deadline;Tessa_Teg;CardID
13.06.2026;e2c4418c-b14f-4b38-91dd-d7582641a4f1;Предписание №1 (ЖК Северный);ПР-1-1;10.06.2026 03:00:00;100;На устранении;4;Предписания;ЖК Северный;12.07.2026 03:00:00;КРИТИЧНЫЙ;d3593d71-3e56-4186-bb23-4b5cdcdf3f87
13.06.2026;e3382cd4-90d8-49f1-b054-3d2672966008;Предписание №2 (ЖК Северный);ПР-1-2;10.06.2026 03:00:00;101;На устранении;4;Предписания;ЖК Северный;01.05.2026 03:00:00;;c7cc9f5e-8af3-4af7-a5e9-a7bbb97c7fec
13.06.2026;15821fed-72b4-4418-8e75-76018a80d279;Предписание №3 (ЖК Северный);ПР-1-3;10.06.2026 03:00:00;102;На устранении;4;Предписания;ЖК Северный;14.07.2026 03:00:00;;92328079-cec3-4ccf-a73e-8b12347cc6df
13.06.2026;0bd75314-1d1e-4425-8402-089a355a100a;Предписание №4 (ЖК Северный);ПР-1-4;10.06.2026 03:00:00;103;Подписан;13;Предписания;ЖК Северный;15.07.2026 03:00:00;;f88d890c-b251-4205-84ce-17f9a0c74362
13.06.2026;a18e1bb7-0aa1-443b-9e39-70dc9e4e4540;Предписание №1 (БЦ Горизонт);ПР-2-1;10.06.2026 03:00:00;110;На устранении;4;Предписания;БЦ Горизонт;12.07.2026 03:00:00;КРИТИЧНЫЙ;7f2bb788-36c4-482c-b6d7-c0f578656c2d
13.06.2026;15794b01-f573-4a7c-8010-8a0f5970c2d3;Предписание №2 (БЦ Горизонт);ПР-2-2;10.06.2026 03:00:00;111;На устранении;4;Предписания;БЦ Горизонт;01.05.2026 03:00:00;;4870c635-ac2d-4399-891e-14ce4b3a162a
13.06.2026;c14e20e5-5391-4c55-b759-014af4fc7a9e;Предписание №3 (БЦ Горизонт);ПР-2-3;10.06.2026 03:00:00;112;На устранении;4;Предписания;БЦ Горизонт;14.07.2026 03:00:00;;4f00445c-c4ab-4a2d-a013-d8d63a2fd871
13.06.2026;5a303322-e48b-47bd-8d65-cf7b49f10eda;Предписание №4 (БЦ Горизонт);ПР-2-4;10.06.2026 03:00:00;113;На устранении;4;Предписания;БЦ Горизонт;15.07.2026 03:00:00;;ca18f0c1-0b67-42b9-b3a6-345249b436e5
13.06.2026;f3f230ae-79e6-462b-a609-b2112ee7868f;Предписание №5 (БЦ Горизонт);ПР-2-5;10.06.2026 03:00:00;114;Подписан;13;Предписания;БЦ Горизонт;16.07.2026 03:00:00;;a3cf1feb-4e6b-40b3-a3f9-18696a321b2b
13.06.2026;bf97ed82-adeb-4ad5-a998-139ef42ee387;Предписание №1 (Квартал Альфа);ПР-3-1;10.06.2026 03:00:00;120;На устранении;4;Предписания;Квартал Альфа;12.07.2026 03:00:00;КРИТИЧНЫЙ;2a387219-342c-4a16-ab1f-64ff64b0b1be
13.06.2026;1300a6e5-5814-4dd9-b869-e2a4029f5a15;Предписание №2 (Квартал Альфа);ПР-3-2;10.06.2026 03:00:00;121;На устранении;4;Предписания;Квартал Альфа;01.05.2026 03:00:00;;bd1f2ef9-c34c-4a6c-8089-36b78a61d242
13.06.2026;68ab6c0c-39ed-4618-8e94-9979d2162af9;Предписание №3 (Квартал Альфа);ПР-3-3;10.06.2026 03:00:00;122;На устранении;4;Предписания;Квартал Альфа;14.07.2026 03:00:00;;24d65728-df8d-4a43-8a21-aeb3573a3e91
13.06.2026;6348b0cc-51e4-433d-9840-a22fa31b41ec;Предписание №4 (Квартал Альфа);ПР-3-4;10.06.2026 03:00:00;123;На устранении;4;Предписания;Квартал Альфа;15.07.2026 03:00:00;;dcc3be1b-4cac-4ecf-8bba-e4d90a44795b
13.06.2026;4e1751ee-8521-436c-98b3-805f4ebe8674;Предписание №5 (Квартал Альфа);ПР-3-5;10.06.2026 03:00:00;124;На устранении;4;Предписания;Квартал Альфа;16.07.2026 03:00:00;;e9a557ae-3d95-4c2b-a352-0b7e8f0ef66b
13.06.2026;988d63fa-5164-476e-ac4a-14c5b8e854dc;Предписание №6 (Квартал Альфа);ПР-3-6;10.06.2026 03:00:00;125;Подписан;13;Предписания;Квартал Альфа;17.07.2026 03:00:00;;5741a76b-62e1-48f6-b6f5-9e3dc7d11295
